epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,807.601,0.39372,3.60033,0.90658,0.00753,0.98696,0.09296,0.08827,0.18816,3.47847,0.80638,0.000710694,0.000236898,0.000710694,0.000236898,0.000710694,0.000236898,0.000710694,0.000236898
2,1341.66,0.29825,3.15069,0.87652,0.11095,0.56002,0.1739,0.17117,0.19035,2.82412,0.80892,0.00141059,0.000470197,0.00141059,0.000470197,0.00141059,0.000470197,0.00141059,0.000470197
3,1784.24,0.2882,2.60343,0.87717,0.33473,0.57925,0.41949,0.41479,0.19116,2.29464,0.80471,0.00209635,0.000698783,0.00209635,0.000698783,0.00209635,0.000698783,0.00209635,0.000698783
4,2206.22,0.27164,2.07235,0.86992,0.7469,0.81684,0.85628,0.847,0.17287,1.52555,0.79738,0.00207838,0.000692794,0.00207838,0.000692794,0.00207838,0.000692794,0.00207838,0.000692794
5,2631.25,0.25068,1.51422,0.85784,0.98483,0.97575,0.99392,0.99054,0.16262,0.91839,0.78793,0.00205718,0.000685726,0.00205718,0.000685726,0.00205718,0.000685726,0.00205718,0.000685726
6,3056.04,0.23404,1.09364,0.84425,0.99582,0.99894,0.995,0.99428,0.1486,0.69529,0.77824,0.00203597,0.000678657,0.00203597,0.000678657,0.00203597,0.000678657,0.00203597,0.000678657
7,3481.7,0.21293,0.90284,0.83934,0.99901,1,0.995,0.9942,0.12843,0.64454,0.77352,0.00201477,0.000671588,0.00201477,0.000671588,0.00201477,0.000671588,0.00201477,0.000671588
8,3906.6,0.20043,0.79634,0.83327,0.9991,1,0.995,0.99477,0.12554,0.59335,0.77195,0.00199356,0.00066452,0.00199356,0.00066452,0.00199356,0.00066452,0.00199356,0.00066452
9,4332.2,0.18703,0.72987,0.82811,0.9991,1,0.995,0.995,0.11757,0.57196,0.7697,0.00197235,0.000657451,0.00197235,0.000657451,0.00197235,0.000657451,0.00197235,0.000657451
10,4752.52,0.18193,0.69531,0.82888,0.99834,1,0.995,0.99489,0.10933,0.5609,0.76925,0.00195115,0.000650383,0.00195115,0.000650383,0.00195115,0.000650383,0.00195115,0.000650383
11,5172.3,0.17542,0.65113,0.82302,0.99913,1,0.995,0.995,0.10147,0.51961,0.76627,0.00192994,0.000643314,0.00192994,0.000643314,0.00192994,0.000643314,0.00192994,0.000643314
12,5598.68,0.17166,0.63132,0.82683,0.99896,1,0.995,0.995,0.10442,0.51964,0.7661,0.00190874,0.000636245,0.00190874,0.000636245,0.00190874,0.000636245,0.00190874,0.000636245
13,6025.46,0.16562,0.59962,0.82194,0.99873,1,0.995,0.995,0.10006,0.50916,0.76535,0.00188753,0.000629177,0.00188753,0.000629177,0.00188753,0.000629177,0.00188753,0.000629177
14,6435.87,0.16194,0.58365,0.81906,0.99909,1,0.995,0.995,0.09784,0.47939,0.76463,0.00186632,0.000622108,0.00186632,0.000622108,0.00186632,0.000622108,0.00186632,0.000622108
15,6852.96,0.16056,0.55935,0.81911,0.99918,1,0.995,0.995,0.09588,0.48001,0.76425,0.00184512,0.00061504,0.00184512,0.00061504,0.00184512,0.00061504,0.00184512,0.00061504
16,7255.7,0.15812,0.54634,0.81887,0.99919,1,0.995,0.995,0.09557,0.47549,0.76362,0.00182391,0.000607971,0.00182391,0.000607971,0.00182391,0.000607971,0.00182391,0.000607971
17,7663.46,0.15402,0.52347,0.81825,0.99912,1,0.995,0.995,0.09176,0.46625,0.76395,0.00180271,0.000600902,0.00180271,0.000600902,0.00180271,0.000600902,0.00180271,0.000600902
18,8009.41,0.15028,0.50935,0.81861,0.99893,1,0.995,0.995,0.0884,0.46085,0.76267,0.0017815,0.000593834,0.0017815,0.000593834,0.0017815,0.000593834,0.0017815,0.000593834
19,8351.12,0.14729,0.49117,0.81643,0.99911,1,0.995,0.995,0.0964,0.44106,0.76366,0.0017603,0.000586765,0.0017603,0.000586765,0.0017603,0.000586765,0.0017603,0.000586765
20,8722.8,0.14721,0.49119,0.81696,0.99925,1,0.995,0.995,0.08274,0.43698,0.76218,0.00173909,0.000579697,0.00173909,0.000579697,0.00173909,0.000579697,0.00173909,0.000579697
21,9136.26,0.141,0.47591,0.8143,0.99899,1,0.995,0.995,0.08319,0.43257,0.76351,0.00171788,0.000572628,0.00171788,0.000572628,0.00171788,0.000572628,0.00171788,0.000572628
22,9550.42,0.13935,0.45869,0.81179,0.99929,1,0.995,0.995,0.08982,0.42687,0.76325,0.00169668,0.000565559,0.00169668,0.000565559,0.00169668,0.000565559,0.00169668,0.000565559
23,9963.9,0.1413,0.46482,0.81486,0.99926,1,0.995,0.995,0.08373,0.42113,0.76196,0.00167547,0.000558491,0.00167547,0.000558491,0.00167547,0.000558491,0.00167547,0.000558491
24,10376.6,0.14044,0.45832,0.81506,0.99905,1,0.995,0.995,0.08553,0.41104,0.76111,0.00165427,0.000551422,0.00165427,0.000551422,0.00165427,0.000551422,0.00165427,0.000551422
25,10789.1,0.13643,0.45211,0.81366,0.99912,1,0.995,0.995,0.08285,0.40672,0.7616,0.00163306,0.000544354,0.00163306,0.000544354,0.00163306,0.000544354,0.00163306,0.000544354
26,11203.6,0.13763,0.44586,0.81592,0.99918,1,0.995,0.995,0.0826,0.40243,0.76145,0.00161185,0.000537285,0.00161185,0.000537285,0.00161185,0.000537285,0.00161185,0.000537285
27,11619.5,0.13708,0.43648,0.81473,0.99924,1,0.995,0.995,0.07981,0.3956,0.76023,0.00159065,0.000530216,0.00159065,0.000530216,0.00159065,0.000530216,0.00159065,0.000530216
28,12035.5,0.13671,0.43598,0.81042,0.99924,1,0.995,0.995,0.07903,0.38615,0.76133,0.00156944,0.000523148,0.00156944,0.000523148,0.00156944,0.000523148,0.00156944,0.000523148
29,12450.6,0.13141,0.41245,0.81249,0.99928,1,0.995,0.995,0.08038,0.38985,0.76155,0.00154824,0.000516079,0.00154824,0.000516079,0.00154824,0.000516079,0.00154824,0.000516079
30,12864.8,0.12909,0.41927,0.81117,0.99908,1,0.995,0.995,0.07597,0.37658,0.76157,0.00152703,0.000509011,0.00152703,0.000509011,0.00152703,0.000509011,0.00152703,0.000509011
31,13279.1,0.12937,0.4087,0.8133,0.99875,1,0.995,0.995,0.0732,0.37328,0.7597,0.00150583,0.000501942,0.00150583,0.000501942,0.00150583,0.000501942,0.00150583,0.000501942
32,13694.2,0.12625,0.39186,0.81222,0.99928,1,0.995,0.995,0.07945,0.37302,0.75989,0.00148462,0.000494873,0.00148462,0.000494873,0.00148462,0.000494873,0.00148462,0.000494873
33,14109.5,0.12667,0.4007,0.81155,0.99923,1,0.995,0.995,0.07555,0.36251,0.75969,0.00146341,0.000487805,0.00146341,0.000487805,0.00146341,0.000487805,0.00146341,0.000487805
34,14497.2,0.12609,0.39637,0.81083,0.99932,1,0.995,0.995,0.07743,0.36417,0.76077,0.00144221,0.000480736,0.00144221,0.000480736,0.00144221,0.000480736,0.00144221,0.000480736
35,14830.2,0.12554,0.38692,0.80771,0.99924,1,0.995,0.995,0.07299,0.35847,0.76096,0.001421,0.000473668,0.001421,0.000473668,0.001421,0.000473668,0.001421,0.000473668
36,15247.1,0.12468,0.38142,0.81133,0.99918,1,0.995,0.995,0.0734,0.35849,0.76066,0.0013998,0.000466599,0.0013998,0.000466599,0.0013998,0.000466599,0.0013998,0.000466599
37,15660.9,0.125,0.38768,0.81128,0.9993,1,0.995,0.995,0.0738,0.35328,0.76078,0.00137859,0.00045953,0.00137859,0.00045953,0.00137859,0.00045953,0.00137859,0.00045953
