epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,845.278,0.14658,1.07999,0.79705,0.98493,0.9266,0.96902,0.96418,0.13106,0.39606,0.79387,9.5974e-05,3.19913e-05,9.5974e-05,3.19913e-05,9.5974e-05,3.19913e-05,9.5974e-05,3.19913e-05
2,1489.19,0.14438,1.01814,0.79484,0.98774,0.93462,0.97637,0.9717,0.12757,0.34953,0.79255,0.000172969,5.76562e-05,0.000172969,5.76562e-05,0.000172969,5.76562e-05,0.000172969,5.76562e-05
3,2064.26,0.13964,0.933,0.79181,0.98643,0.95379,0.98477,0.9802,0.12274,0.29817,0.79,0.000230955,7.69851e-05,0.000230955,7.69851e-05,0.000230955,7.69851e-05,0.000230955,7.69851e-05
4,2628,0.13432,0.85039,0.78832,0.99056,0.9628,0.98932,0.98491,0.11864,0.25851,0.78802,0.000202464,6.7488e-05,0.000202464,6.7488e-05,0.000202464,6.7488e-05,0.000202464,6.7488e-05
5,3188.78,0.12952,0.79079,0.78603,0.99189,0.97195,0.99166,0.98744,0.11445,0.23141,0.78711,0.000173952,5.7984e-05,0.000173952,5.7984e-05,0.000173952,5.7984e-05,0.000173952,5.7984e-05
6,3732.24,0.12589,0.75019,0.78338,0.99249,0.9785,0.99273,0.98867,0.11265,0.21285,0.7862,0.00014544,4.848e-05,0.00014544,4.848e-05,0.00014544,4.848e-05,0.00014544,4.848e-05
7,4273.77,0.12267,0.71989,0.78194,0.99355,0.98237,0.99321,0.98934,0.11007,0.19961,0.78538,0.000116928,3.8976e-05,0.000116928,3.8976e-05,0.000116928,3.8976e-05,0.000116928,3.8976e-05
8,4817.52,0.12031,0.69873,0.78087,0.99411,0.98447,0.99343,0.98961,0.10955,0.19167,0.78517,8.8416e-05,2.9472e-05,8.8416e-05,2.9472e-05,8.8416e-05,2.9472e-05,8.8416e-05,2.9472e-05
9,5396.57,0.11885,0.68702,0.77966,0.9946,0.98503,0.99353,0.98975,0.10848,0.18617,0.78485,5.9904e-05,1.9968e-05,5.9904e-05,1.9968e-05,5.9904e-05,1.9968e-05,5.9904e-05,1.9968e-05
10,5978.08,0.11691,0.67536,0.77877,0.99426,0.98638,0.99359,0.98981,0.10795,0.18321,0.78469,3.1392e-05,1.0464e-05,3.1392e-05,1.0464e-05,3.1392e-05,1.0464e-05,3.1392e-05,1.0464e-05
