epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,769612,0.12482,0.33111,0.82234,0.99972,0.99907,0.99489,0.99384,0.0561,0.04917,0.78108,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,797794,0.12293,0.32739,0.82183,0.99972,0.99907,0.99489,0.99388,0.05577,0.04904,0.7809,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,826479,0.12195,0.32324,0.82168,0.99972,0.99908,0.99489,0.99388,0.05531,0.04882,0.78093,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,855199,0.1203,0.31917,0.82111,0.99973,0.99909,0.99489,0.99388,0.05482,0.04809,0.78118,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,883920,0.11798,0.31598,0.82042,0.99975,0.9991,0.99489,0.9939,0.05382,0.04772,0.78088,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,912641,0.11572,0.30993,0.81994,0.99975,0.9991,0.9949,0.99394,0.05244,0.04701,0.78063,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,941373,0.11402,0.30599,0.81911,0.99975,0.9991,0.9949,0.99395,0.05068,0.04618,0.78029,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,970079,0.11186,0.30139,0.81887,0.99976,0.99909,0.9949,0.99397,0.04962,0.04543,0.78021,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,998776,inf,0.29526,0.81794,0.99977,0.9991,0.99491,0.99401,0.04842,0.04441,0.78006,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,1.02747e+06,0.07939,0.0939,0.76396,0.99975,0.9991,0.9949,0.99385,0.04846,0.04705,0.78009,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,1.05569e+06,0.07654,0.08972,0.76345,0.99976,0.99909,0.9949,0.99385,0.04893,0.04768,0.78077,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,1.08434e+06,0.07331,0.08535,0.76243,0.99977,0.99908,0.99488,0.99384,0.04742,0.04614,0.78044,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,1.11291e+06,0.06975,0.08074,0.76161,0.99978,0.99909,0.99487,0.99382,0.04612,0.04494,0.78096,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,1.14156e+06,0.06692,0.07756,0.76105,0.99979,0.99908,0.99486,0.99385,0.04518,0.04274,0.78059,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,1.1702e+06,0.06494,0.07456,0.76052,0.99979,0.99907,0.99486,0.99388,0.0443,0.04087,0.78045,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,1.19874e+06,0.06043,0.06878,0.75968,0.9998,0.99906,0.99487,0.99382,0.04326,0.03908,0.7809,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,1.22715e+06,0.05795,0.06499,0.75903,0.9998,0.99908,0.99486,0.9938,0.04246,0.03816,0.781,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,28660.6,inf,0.28799,0.81799,0.99981,0.99911,0.99488,0.99394,0.04215,0.03741,0.78022,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,57584.3,inf,0.24987,0.8125,0.99983,0.99911,0.99489,0.99402,0.04167,0.03654,0.78023,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
