epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,32233.6,0.30914,4.83126,0.83942,0.00964,0.72897,0.0097,0.0095,0.20643,4.33382,0.80988,9.5987e-05,3.19957e-05,9.5987e-05,3.19957e-05,9.5987e-05,3.19957e-05,9.5987e-05,3.19957e-05
2,52490.2,0.2256,4.32032,0.81145,0.00981,0.98611,0.0149,0.01472,0.18131,3.92724,0.80933,0.00017298,5.76601e-05,0.00017298,5.76601e-05,0.00017298,5.76601e-05,0.00017298,5.76601e-05
3,69207.1,0.19995,3.94436,0.81196,0.14025,0.21433,0.13501,0.13377,0.16914,3.42305,0.80877,0.000230966,7.69885e-05,0.000230966,7.69885e-05,0.000230966,7.69885e-05,0.000230966,7.69885e-05
4,85137.1,0.1964,3.34862,0.81975,0.56765,0.52084,0.56277,0.5589,0.16632,2.53827,0.81003,0.000202464,6.7488e-05,0.000202464,6.7488e-05,0.000202464,6.7488e-05,0.000202464,6.7488e-05
5,100010,0.19039,2.5993,0.82,0.83266,0.7131,0.81624,0.81118,0.15734,1.76145,0.80611,0.000173952,5.7984e-05,0.000173952,5.7984e-05,0.000173952,5.7984e-05,0.000173952,5.7984e-05
6,112692,0.17956,1.97451,0.8166,0.93215,0.82235,0.90487,0.89968,0.14788,1.28183,0.8021,0.00014544,4.848e-05,0.00014544,4.848e-05,0.00014544,4.848e-05,0.00014544,4.848e-05
7,125587,0.16793,1.56408,0.80844,0.96296,0.87358,0.93747,0.93243,0.14159,1.03427,0.79912,0.000116928,3.8976e-05,0.000116928,3.8976e-05,0.000116928,3.8976e-05,0.000116928,3.8976e-05
8,138128,0.15993,1.33839,0.80413,0.9744,0.89994,0.95239,0.94747,0.13724,0.90978,0.79714,8.8416e-05,2.9472e-05,8.8416e-05,2.9472e-05,8.8416e-05,2.9472e-05,8.8416e-05,2.9472e-05
9,150685,0.15435,1.21642,0.80156,0.98046,0.91188,0.96027,0.95545,0.13421,0.84674,0.79588,5.9904e-05,1.9968e-05,5.9904e-05,1.9968e-05,5.9904e-05,1.9968e-05,5.9904e-05,1.9968e-05
10,163317,0.15107,1.15332,0.79883,0.98312,0.91753,0.96426,0.95951,0.13271,0.81587,0.79528,3.1392e-05,1.0464e-05,3.1392e-05,1.0464e-05,3.1392e-05,1.0464e-05,3.1392e-05,1.0464e-05
