epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,10511.9,0.2797,3.50013,0.89783,0.09724,0.94828,0.59475,0.59292,0.12817,3.07016,0.80091,0.00999983,0.00333328,0.00999983,0.00333328,0.00999983,0.00333328,0.00999983,0.00333328
2,18526.4,0.23401,1.10155,0.8594,0.99555,0.73454,0.98643,0.9825,0.14921,1.4045,0.80148,0.0196038,0.00653461,0.0196038,0.00653461,0.0196038,0.00653461,0.0196038,0.00653461
3,25909,0.22385,0.76063,0.85226,0.66114,0.91931,0.94248,0.93315,0.21504,2.47365,0.85718,0.0288118,0.00960395,0.0288118,0.00960395,0.0288118,0.00960395,0.0288118,0.00960395
4,33089.5,0.21356,0.67553,0.84939,0.94762,0.43809,0.70307,0.66493,0.47461,3.98959,1.00555,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,40347.9,0.20239,0.60691,0.84558,0.98899,0.95015,0.99127,0.9859,0.15733,0.61938,0.81899,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,47606.1,0.19799,0.57808,0.84449,0.99874,0.99737,0.99427,0.9915,0.11395,0.11471,0.7846,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,54858.9,0.19575,0.56218,0.84383,0.99955,0.99825,0.9944,0.99173,0.10095,0.09051,0.7783,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,62103.4,0.19419,0.54842,0.84289,0.99959,0.99846,0.99448,0.99193,0.09687,0.08518,0.77748,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,69352.2,0.19219,0.53488,0.84268,0.99962,0.99855,0.99449,0.99196,0.09553,0.08326,0.77778,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,76594.9,0.19171,0.52937,0.84264,0.99963,0.99855,0.9945,0.99202,0.09529,0.08292,0.77763,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,83849.7,0.18983,0.51787,0.84165,0.99965,0.99856,0.99452,0.99213,0.09431,0.08164,0.77748,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,91104.3,0.18854,0.50999,0.84133,0.99965,0.99858,0.99452,0.99212,0.09416,0.0804,0.77738,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,98346.8,0.18704,0.50263,0.84053,0.99967,0.99859,0.99453,0.99216,0.09362,0.07954,0.77704,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
