epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,10159.5,0.18469,2.87945,0.80131,0.97268,0.4139,0.89743,0.89415,0.12447,2.16444,0.78948,0.00999983,0.00333328,0.00999983,0.00333328,0.00999983,0.00333328,0.00999983,0.00333328
2,18042.8,0.15919,0.39142,0.78503,0.98589,0.91412,0.99077,0.98276,0.17051,0.8097,0.8051,0.0180198,0.00600662,0.0180198,0.00600662,0.0180198,0.00600662,0.0180198,0.00600662
3,25486.2,0.15433,0.27692,0.78335,0.62246,0.87713,0.90375,0.88172,0.30097,2.51611,0.89415,0.0240599,0.00801995,0.0240599,0.00801995,0.0240599,0.00801995,0.0240599,0.00801995
4,32785.7,0.14559,0.23772,0.78102,0.68477,0.60316,0.70387,0.66104,0.44056,3.53926,0.95016,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
5,40094.8,0.1334,0.19576,0.77743,0.99431,0.98668,0.99335,0.98599,0.1627,0.24979,0.80529,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
6,47302,0.12724,0.17494,0.77501,0.99939,0.99757,0.99437,0.99072,0.11095,0.08623,0.78201,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
7,54507.8,0.12124,0.15633,0.77332,0.99954,0.99815,0.99451,0.99186,0.09529,0.07377,0.78,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
8,61714.2,0.11504,0.13858,0.77142,0.99959,0.99834,0.99456,0.99204,0.09055,0.07208,0.78007,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
9,69384.3,0.1086,0.12261,0.76972,0.99962,0.99842,0.99456,0.9921,0.08934,0.07207,0.78054,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
10,77110.2,0.10033,0.10478,0.7674,0.99965,0.99846,0.99459,0.99215,0.08837,0.0724,0.78114,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
