epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,833.014,0.34295,2.92166,0.91175,0.97812,0.93704,0.98191,0.97307,0.17895,0.3955,0.80979,0.00999729,0.00333243,0.00999729,0.00333243,0.00999729,0.00333243,0.00999729,0.00333243
2,1490.68,0.31728,1.11971,0.88178,0.99371,0.98762,0.99336,0.98617,0.1599,0.21164,0.79946,0.0196013,0.00653378,0.0196013,0.00653378,0.0196013,0.00653378,0.0196013,0.00653378
3,2089.01,0.31945,0.79721,0.87866,0.99738,0.99534,0.99388,0.98799,0.15204,0.17616,0.79353,0.0288094,0.00960313,0.0288094,0.00960313,0.0288094,0.00960313,0.0288094,0.00960313
4,2669.12,0.28987,0.59773,0.86802,0.99898,0.99715,0.99417,0.99056,0.13098,0.13667,0.78647,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,3248.76,0.25655,0.4913,0.85711,0.99953,0.99787,0.99444,0.99165,0.12004,0.11939,0.78399,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,3829.86,0.23843,0.44315,0.85171,0.99966,0.99783,0.9945,0.99211,0.11058,0.10664,0.78061,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,4417.75,0.22573,0.41107,0.84778,0.9997,0.99796,0.99459,0.99247,0.10624,0.09695,0.7794,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,4988.77,0.21642,0.38487,0.84482,0.9997,0.99801,0.99438,0.99221,0.10359,0.09266,0.77869,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,5532.95,0.21017,0.37202,0.8427,0.99969,0.998,0.99445,0.9926,0.10023,0.08891,0.7785,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,6075.05,0.20557,0.36055,0.84285,0.99966,0.99806,0.99457,0.99277,0.09827,0.0849,0.77826,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,6616.35,0.20103,0.348,0.84027,0.99972,0.99808,0.99448,0.9927,0.09696,0.08439,0.77796,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,7157.44,0.19817,0.34205,0.84051,0.99975,0.99811,0.99449,0.99274,0.09524,0.08164,0.77682,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,7742.55,0.19414,0.33263,0.83952,0.99972,0.99811,0.9945,0.99286,0.09362,0.07867,0.77522,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,8328.62,0.19074,0.32392,0.83755,0.99975,0.99811,0.99451,0.99293,0.09286,0.07673,0.77437,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,8884.04,0.18864,0.31668,0.83752,0.99974,0.99811,0.99452,0.99294,0.09243,0.07559,0.77446,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,9428.77,0.18678,0.31254,0.83719,0.99974,0.99812,0.99453,0.99301,0.09169,0.07494,0.77444,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,9997.44,0.1856,0.30729,0.83629,0.99975,0.99811,0.99452,0.99301,0.09129,0.0741,0.77456,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,10585,0.18446,0.30496,0.8362,0.99975,0.99812,0.99451,0.99301,0.09086,0.07361,0.77466,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,11171.1,0.1812,0.30009,0.83549,0.99975,0.99812,0.99453,0.99301,0.09052,0.07319,0.77467,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,11729.3,0.1789,0.29415,0.83508,0.99975,0.99812,0.99454,0.99302,0.09005,0.07287,0.77465,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,12302.2,0.1776,0.29223,0.83475,0.99975,0.99812,0.99453,0.99305,0.08962,0.07266,0.77456,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,12875.6,0.17555,0.28558,0.833,0.99975,0.99812,0.99453,0.99306,0.08926,0.07235,0.77446,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,13462.1,0.17265,0.2805,0.83261,0.99975,0.99812,0.99455,0.99308,0.08912,0.07195,0.77437,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,14050.1,0.17263,0.28098,0.83295,0.99975,0.99812,0.99454,0.99307,0.08887,0.07163,0.77425,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,14636,0.17058,0.27706,0.83205,0.99975,0.99812,0.99454,0.99307,0.08852,0.07143,0.77411,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,15215,0.16986,0.27412,0.83221,0.99976,0.99812,0.99455,0.99308,0.08834,0.07112,0.77408,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,15803.6,0.1666,0.26872,0.83047,0.99976,0.99812,0.99455,0.9931,0.08806,0.07093,0.77418,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,16396.1,0.16608,0.26637,0.83039,0.99976,0.99812,0.99454,0.99311,0.08774,0.07064,0.77406,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,16992.3,0.16515,0.26516,0.83056,0.99976,0.99812,0.99456,0.99311,0.0875,0.07037,0.77405,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,17585.9,0.16273,0.25951,0.82962,0.99976,0.99812,0.99456,0.99313,0.08733,0.07005,0.77396,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,18180.2,0.16103,0.25794,0.82928,0.99976,0.99812,0.99456,0.99314,0.08702,0.06984,0.77387,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,18773.5,0.15909,0.25335,0.82784,0.99977,0.99812,0.99457,0.99315,0.08656,0.06956,0.77375,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
