epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,2107.52,0.38847,3.50325,0.9149,0.19931,0.25972,0.11214,0.10771,0.18289,3.16038,0.7979,0.000712655,0.000237552,0.000712655,0.000237552,0.000712655,0.000237552,0.000712655,0.000237552
2,3404.17,0.32265,2.76064,0.897,0.30068,0.48367,0.3613,0.35844,0.1819,2.38531,0.79401,0.00135604,0.000452012,0.00135604,0.000452012,0.00135604,0.000452012,0.00135604,0.000452012
3,4507.03,0.28659,2.10606,0.88378,0.78034,0.76366,0.84466,0.8402,0.16551,1.39573,0.7877,0.00192873,0.00064291,0.00192873,0.00064291,0.00192873,0.00064291,0.00192873,0.00064291
4,5556.06,0.25479,1.38242,0.86484,0.98272,0.92455,0.98536,0.98336,0.1424,0.78349,0.77748,0.00182391,0.000607971,0.00182391,0.000607971,0.00182391,0.000607971,0.00182391,0.000607971
5,6606.93,0.22918,1.01635,0.85036,0.99262,0.97316,0.99442,0.99294,0.13353,0.63811,0.77459,0.00171788,0.000572628,0.00171788,0.000572628,0.00171788,0.000572628,0.00171788,0.000572628
6,7653.55,0.20892,0.86221,0.84524,0.98998,0.98551,0.9948,0.99344,0.12205,0.58474,0.77041,0.00161185,0.000537285,0.00161185,0.000537285,0.00161185,0.000537285,0.00161185,0.000537285
7,8702.44,0.20058,0.77945,0.8384,0.99541,0.99521,0.99497,0.9934,0.11757,0.55119,0.76762,0.00150583,0.000501942,0.00150583,0.000501942,0.00150583,0.000501942,0.00150583,0.000501942
8,9761.77,0.19124,0.71245,0.83734,0.99442,0.99498,0.99493,0.99371,0.11377,0.51557,0.76568,0.0013998,0.000466599,0.0013998,0.000466599,0.0013998,0.000466599,0.0013998,0.000466599
9,10810.6,0.1837,0.67305,0.8327,0.99841,0.9983,0.995,0.99394,0.10935,0.49972,0.76417,0.00129377,0.000431256,0.00129377,0.000431256,0.00129377,0.000431256,0.00129377,0.000431256
10,11865.4,0.17797,0.64912,0.83162,0.99705,0.99921,0.995,0.99412,0.10508,0.49731,0.76263,0.00118774,0.000395913,0.00118774,0.000395913,0.00118774,0.000395913,0.00118774,0.000395913
11,12878.5,0.1243,0.60206,0.77385,0.99865,0.99818,0.995,0.99462,0.10355,0.45633,0.75939,0.00108171,0.00036057,0.00108171,0.00036057,0.00108171,0.00036057,0.00108171,0.00036057
12,13893.9,0.11634,0.5637,0.77156,0.99933,0.99964,0.995,0.99446,0.10073,0.43414,0.75825,0.000975681,0.000325227,0.000975681,0.000325227,0.000975681,0.000325227,0.000975681,0.000325227
13,14910.7,0.1116,0.53627,0.76963,0.99955,1,0.995,0.99478,0.09646,0.42001,0.75691,0.000869652,0.000289884,0.000869652,0.000289884,0.000869652,0.000289884,0.000869652,0.000289884
14,15924,0.10797,0.51743,0.76955,0.99918,1,0.995,0.9949,0.09176,0.40473,0.75582,0.000763623,0.000254541,0.000763623,0.000254541,0.000763623,0.000254541,0.000763623,0.000254541
15,16937.6,0.10374,0.49901,0.76982,0.99953,1,0.995,0.99488,0.088,0.38658,0.75495,0.000657594,0.000219198,0.000657594,0.000219198,0.000657594,0.000219198,0.000657594,0.000219198
16,17957.5,0.10009,0.48352,0.76842,0.99966,1,0.995,0.99489,0.08544,0.38054,0.75447,0.000551565,0.000183855,0.000551565,0.000183855,0.000551565,0.000183855,0.000551565,0.000183855
17,18964.2,0.09881,0.47446,0.76508,0.9995,1,0.995,0.9949,0.08426,0.37305,0.75462,0.000445536,0.000148512,0.000445536,0.000148512,0.000445536,0.000148512,0.000445536,0.000148512
18,19975.2,0.09526,0.46667,0.76515,0.99957,1,0.995,0.99484,0.0828,0.36759,0.75408,0.000339507,0.000113169,0.000339507,0.000113169,0.000339507,0.000113169,0.000339507,0.000113169
19,20985.9,0.0933,0.46038,0.76317,0.99948,0.99994,0.995,0.99489,0.08166,0.36387,0.75388,0.000233478,7.7826e-05,0.000233478,7.7826e-05,0.000233478,7.7826e-05,0.000233478,7.7826e-05
20,21993.2,0.09045,0.45627,0.76626,0.99965,1,0.995,0.99489,0.07842,0.35839,0.7536,0.000127449,4.2483e-05,0.000127449,4.2483e-05,0.000127449,4.2483e-05,0.000127449,4.2483e-05
